geoid,name,B24031001,"B24031001, Error",B24031002,"B24031002, Error",B24031003,"B24031003, Error",B24031004,"B24031004, Error",B24031005,"B24031005, Error",B24031006,"B24031006, Error",B24031007,"B24031007, Error",B24031008,"B24031008, Error",B24031009,"B24031009, Error",B24031010,"B24031010, Error",B24031011,"B24031011, Error",B24031012,"B24031012, Error",B24031013,"B24031013, Error",B24031014,"B24031014, Error",B24031015,"B24031015, Error",B24031016,"B24031016, Error",B24031017,"B24031017, Error",B24031018,"B24031018, Error",B24031019,"B24031019, Error",B24031020,"B24031020, Error",B24031021,"B24031021, Error",B24031022,"B24031022, Error",B24031023,"B24031023, Error",B24031024,"B24031024, Error",B24031025,"B24031025, Error",B24031026,"B24031026, Error",B24031027,"B24031027, Error"
16000US0639259,"Laguna Woods, CA",41404,6527,,,,,,,46979,60301,68472,20748,129118,44703,27330,14225,80085,74468,80085,74468,,,111917,2424,36250,11752,60368,79484,32813,20572,46010,9844,56853,30571,,,45052,48745,29092,9840,29583,49313,29010,12829,26721,6380,26120,1730,32102,83817,45682,10044,42266,18183
16000US0639290,"La Habra, CA",44363,2138,33571,19737,29091,14252,,,45842,11537,59014,5377,58519,10816,31035,3453,40844,3502,38879,5688,75438,19578,61563,44452,55269,12599,65284,19131,45938,17653,46818,7726,83056,16411,,,29183,3827,50082,4178,53482,6418,48536,4627,26571,2412,35323,8122,25410,2606,31287,7032,85995,11679
16000US0639496,"Lake Forest, CA",64902,4685,45500,47638,38125,5176,101940,181719,68487,25984,107762,11038,83958,28552,32302,5128,61793,13891,53300,22943,96250,47142,114188,19693,103720,11367,109934,14710,85558,23579,77411,11536,95932,13608,108304,65933,37772,11095,58148,4928,68055,5958,53202,6923,22179,5051,43173,27423,19973,4379,30625,10326,105026,37532
16000US0640256,"La Palma, CA",59993,7620,,,,,,,60625,18564,86122,13941,55357,18405,40152,6985,59458,14709,58792,16322,64038,37596,77014,19654,70524,19091,71573,19784,43750,51242,71417,24050,85724,11383,,,42043,14633,66477,18244,47003,13862,84231,13681,8864,11339,10469,8462,8203,17007,9734,24295,69444,39748
16000US0640526,"Las Flores, CA",69551,18251,,,,,,,20785,6593,121071,114190,227917,325363,41875,13490,,,,,,,177870,73179,33661,96477,32387,60308,250001,,90473,32817,138516,88838,,,51953,64696,77254,49319,85652,44269,71861,111150,38917,43743,,,57525,43216,70750,56585,126719,24833
16000US0643224,"Los Alamitos, CA",54214,7144,,,,,,,53571,8629,76900,23386,71184,74959,41076,5816,80755,27826,69293,31948,138000,104584,109625,98777,58325,17905,58925,20242,50500,165279,56012,19051,93828,24771,,,28713,6052,58145,15420,71938,22703,51964,16460,22959,7838,35781,26086,18087,4911,79886,50079,101563,41683
16000US0647430,"Midway City, CA",37825,7496,,,,,,,47500,36131,50417,23244,68390,38160,19194,13305,55132,52547,55132,52547,,,,,53846,35136,53846,35136,,,32400,20256,114792,128170,,,30900,22355,44196,39449,28148,32999,56750,48686,31176,8065,45819,3808,18417,9834,29464,50584,61688,15822
16000US0648256,"Mission Viejo, CA",68728,2719,58242,41057,58242,41057,,,78321,11474,96712,4041,94865,20684,35620,5678,81607,25345,65638,10536,147563,19272,81607,47290,87746,11952,101346,18706,69606,14301,85431,11605,105238,6194,115188,38313,40041,3623,63659,6007,65575,8709,62517,7250,26016,7764,36815,24991,22908,7031,29041,3846,90326,18579
16000US0648410,"Modjeska, CA",59917,15893,,,,,,,,,81458,6230,,,,,,,,,,,,,58393,17026,58393,17026,,,105909,58956,105909,58956,,,,,34464,26454,34048,25405,,,66000,81153,66813,117862,,,,,,
16000US0651182,"Newport Beach, CA",93729,5472,250001,,116250,65873,,,115020,20250,115526,31594,150642,65968,60745,23123,62212,26244,50236,35902,90167,52099,135208,64391,135996,27242,158365,32303,102835,18281,110563,13401,113505,12232,118036,218839,81471,56052,86484,8880,72543,18632,89721,7410,41250,6074,47286,31617,40438,6045,54755,25338,147622,68709
